Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5000,5000,5000,5000,5000,58576700
2019-01-03,5000,5000,5000,5000,5000,74820200
2019-01-04,5000,5000,5000,5000,5000,74709300
2019-01-07,5000,5000,5000,5000,5000,52059300
2019-01-08,5000,5000,5000,5000,5000,49388700
2019-01-09,5000,5000,5000,5000,5000,46491700
2019-01-10,5000,5000,5000,5000,5000,38943400
2019-01-11,5000,5000,5000,5000,5000,30176600
2019-01-14,5000,5000,5000,5000,5000,30710200
2019-01-15,5000,5000,5000,5000,5000,40874200
2019-01-16,5000,5000,5000,5000,5000,33812200
2019-01-17,5000,5000,5000,5000,5000,39329000
2019-01-18,5000,5000,5000,5000,5000,57183200
2019-01-22,5000,5000,5000,5000,5000,56711700
2019-01-23,5000,5000,5000,5000,5000,38106100
2019-01-24,5000,5000,5000,5000,5000,32417800
2019-01-25,5000,5000,5000,5000,5000,36515900
2019-01-28,5000,5000,5000,5000,5000,33491200
2019-01-29,5000,5000,5000,5000,5000,30784200
2019-01-30,5000,5000,5000,5000,5000,41346500
2019-01-31,5000,5000,5000,5000,5000,37258400
2019-02-01,5000,5000,5000,5000,5000,32143700
2019-02-04,5000,5000,5000,5000,5000,26718800
2019-02-05,5000,5000,5000,5000,5000,28156400
2019-02-06,5000,5000,5000,5000,5000,27970000
2019-02-07,5000,5000,5000,5000,5000,42036200
2019-02-08,5000,5000,5000,5000,5000,29020700
2019-02-11,5000,5000,5000,5000,5000,21434100
2019-02-12,5000,5000,5000,5000,5000,29722100
2019-02-13,5000,5000,5000,5000,5000,26094100
2019-02-14,5000,5000,5000,5000,5000,30326800
2019-02-15,5000,5000,5000,5000,5000,32521700
2019-02-19,5000,5000,5000,5000,5000,19487700
2019-02-20,5000,5000,5000,5000,5000,32593000
2019-02-21,5000,5000,5000,5000,5000,25207400
2019-02-22,5000,5000,5000,5000,5000,27735400
2019-02-25,5000,5000,5000,5000,5000,32608800
2019-02-26,5000,5000,5000,5000,5000,21939700
2019-02-27,5000,5000,5000,5000,5000,25162000
2019-02-28,5000,5000,5000,5000,5000,25085500
2019-03-01,5000,5000,5000,5000,5000,31431200
2019-03-04,5000,5000,5000,5000,5000,38063500
2019-03-05,5000,5000,5000,5000,5000,22319900
2019-03-06,5000,5000,5000,5000,5000,27194600
2019-03-07,5000,5000,5000,5000,5000,39407400
2019-03-08,5000,5000,5000,5000,5000,39303200
2019-03-11,5000,5000,5000,5000,5000,30518400
2019-03-12,5000,5000,5000,5000,5000,33953500
2019-03-13,5000,5000,5000,5000,5000,42426100
2019-03-14,5000,5000,5000,5000,5000,23751500
2019-03-15,5000,5000,5000,5000,5000,38192000
2019-03-18,5000,5000,5000,5000,5000,32935100
2019-03-19,5000,5000,5000,5000,5000,36893300
2019-03-20,5000,5000,5000,5000,5000,50105000
2019-03-21,5000,5000,5000,5000,5000,42428500
2019-03-22,5000,5000,5000,5000,5000,70794500
2019-03-25,5000,5000,5000,5000,5000,46336500
2019-03-26,5000,5000,5000,5000,5000,33248100
