Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8000,8000,8000,8000,8000,58576700
2019-01-03,8000,8000,8000,8000,8000,74820200
2019-01-04,8000,8000,8000,8000,8000,74709300
2019-01-07,8000,8000,8000,8000,8000,52059300
2019-01-08,8000,8000,8000,8000,8000,49388700
2019-01-09,8000,8000,8000,8000,8000,46491700
2019-01-10,8000,8000,8000,8000,8000,38943400
2019-01-11,8000,8000,8000,8000,8000,30176600
2019-01-14,8000,8000,8000,8000,8000,30710200
2019-01-15,8000,8000,8000,8000,8000,40874200
2019-01-16,8000,8000,8000,8000,8000,33812200
2019-01-17,8000,8000,8000,8000,8000,39329000
2019-01-18,8000,8000,8000,8000,8000,57183200
2019-01-22,8000,8000,8000,8000,8000,56711700
2019-01-23,8000,8000,8000,8000,8000,38106100
2019-01-24,8000,8000,8000,8000,8000,32417800
2019-01-25,8000,8000,8000,8000,8000,36515900
2019-01-28,8000,8000,8000,8000,8000,33491200
2019-01-29,8000,8000,8000,8000,8000,30784200
2019-01-30,8000,8000,8000,8000,8000,41346500
2019-01-31,8000,8000,8000,8000,8000,37258400
2019-02-01,8000,8000,8000,8000,8000,32143700
2019-02-04,8000,8000,8000,8000,8000,26718800
2019-02-05,8000,8000,8000,8000,8000,28156400
2019-02-06,8000,8000,8000,8000,8000,27970000
2019-02-07,8000,8000,8000,8000,8000,42036200
2019-02-08,8000,8000,8000,8000,8000,29020700
2019-02-11,8000,8000,8000,8000,8000,21434100
2019-02-12,8000,8000,8000,8000,8000,29722100
2019-02-13,8000,8000,8000,8000,8000,26094100
2019-02-14,8000,8000,8000,8000,8000,30326800
2019-02-15,8000,8000,8000,8000,8000,32521700
2019-02-19,8000,8000,8000,8000,8000,19487700
2019-02-20,8000,8000,8000,8000,8000,32593000
2019-02-21,8000,8000,8000,8000,8000,25207400
2019-02-22,8000,8000,8000,8000,8000,27735400
2019-02-25,8000,8000,8000,8000,8000,32608800
2019-02-26,8000,8000,8000,8000,8000,21939700
2019-02-27,8000,8000,8000,8000,8000,25162000
2019-02-28,8000,8000,8000,8000,8000,25085500
2019-03-01,8000,8000,8000,8000,8000,31431200
2019-03-04,8000,8000,8000,8000,8000,38063500
2019-03-05,8000,8000,8000,8000,8000,22319900
2019-03-06,8000,8000,8000,8000,8000,27194600
2019-03-07,8000,8000,8000,8000,8000,39407400
2019-03-08,8000,8000,8000,8000,8000,39303200
2019-03-11,8000,8000,8000,8000,8000,30518400
2019-03-12,8000,8000,8000,8000,8000,33953500
2019-03-13,8000,8000,8000,8000,8000,42426100
2019-03-14,8000,8000,8000,8000,8000,23751500
2019-03-15,8000,8000,8000,8000,8000,38192000
2019-03-18,8000,8000,8000,8000,8000,32935100
2019-03-19,8000,8000,8000,8000,8000,36893300
2019-03-20,8000,8000,8000,8000,8000,50105000
2019-03-21,8000,8000,8000,8000,8000,42428500
2019-03-22,8000,8000,8000,8000,8000,70794500
2019-03-25,8000,8000,8000,8000,8000,46336500
2019-03-26,8000,8000,8000,8000,8000,33248100
2019-03-27,8000,8000,8000,8000,8000,37096700
2019-03-28,8000,8000,8000,8000,8000,30368200
2019-03-29,8000,8000,8000,8000,8000,35205500
2019-04-01,8000,8000,8000,8000,8000,30969500
2019-04-02,8000,8000,8000,8000,8000,22645200
2019-04-03,8000,8000,8000,8000,8000,31633500
2019-04-04,8000,8000,8000,8000,8000,28530800
2019-04-05,8000,8000,8000,8000,8000,25674700
2019-04-08,8000,8000,8000,8000,8000,22697500
2019-04-09,8000,8000,8000,8000,8000,25631900
2019-04-10,8000,8000,8000,8000,8000,24563000
2019-04-11,8000,8000,8000,8000,8000,20654100
2019-04-12,8000,8000,8000,8000,8000,24989100
2019-04-15,8000,8000,8000,8000,8000,21073000
2019-04-16,8000,8000,8000,8000,8000,27195700
2019-04-17,8000,8000,8000,8000,8000,29651600
2019-04-18,8000,8000,8000,8000,8000,28580900
2019-04-22,8000,8000,8000,8000,8000,17936000
2019-04-23,8000,8000,8000,8000,8000,33665600
2019-04-24,8000,8000,8000,8000,8000,24977100
2019-04-25,8000,8000,8000,8000,8000,29517500
2019-04-26,8000,8000,8000,8000,8000,26359500
2019-04-29,8000,8000,8000,8000,8000,21716200
2019-04-30,8000,8000,8000,8000,8000,31495300
2019-05-01,8000,8000,8000,8000,8000,34797100
2019-05-02,8000,8000,8000,8000,8000,44110100
2019-05-03,8000,8000,8000,8000,8000,30386200
2019-05-06,8000,8000,8000,8000,8000,38371800
2019-05-07,8000,8000,8000,8000,8000,58818100
2019-05-08,8000,8000,8000,8000,8000,37165300
2019-05-09,8000,8000,8000,8000,8000,55351700
2019-05-10,8000,8000,8000,8000,8000,58526400
2019-05-13,8000,8000,8000,8000,8000,67185800
2019-05-14,8000,8000,8000,8000,8000,43360600
2019-05-15,8000,8000,8000,8000,8000,40944500
2019-05-16,8000,8000,8000,8000,8000,39281200
2019-05-17,8000,8000,8000,8000,8000,44702300
2019-05-20,8000,8000,8000,8000,8000,38608300
2019-05-21,8000,8000,8000,8000,8000,31613800
2019-05-22,8000,8000,8000,8000,8000,24332600
2019-05-23,8000,8000,8000,8000,8000,45351300
2019-05-24,8000,8000,8000,8000,8000,25903300
2019-05-28,8000,8000,8000,8000,8000,24763800
2019-05-29,8000,8000,8000,8000,8000,42178800
2019-05-30,8000,8000,8000,8000,8000,30354800
2019-05-31,8000,8000,8000,8000,8000,45446200
2019-06-03,8000,8000,8000,8000,8000,75842300
2019-06-04,8000,8000,8000,8000,8000,47797800
2019-06-05,8000,8000,8000,8000,8000,34412700
2019-06-06,8000,8000,8000,8000,8000,29913200
2019-06-07,8000,8000,8000,8000,8000,45888300
2019-06-10,8000,8000,8000,8000,8000,41385300
2019-06-11,8000,8000,8000,8000,8000,41260300
